Species(Blue),chlSab2,otoGar3,rheMac3,,Species(Brown),chiLan1,hetGla2,ochPri3
chlSab2,0,0.756487628,0.140777984,,chiLan1,0,0.385429082,0.726312019
otoGar3,0.756487628,0,0.760169363,,hetGla2,0.385429082,0,0.880748663
rheMac3,0.140777984,0.760169363,0,,ochPri3,0.726312019,0.880748663,0
,,,,,,,,
Species(Green),canFam3,eptFus1,felCat8,,Species(Orange),chrAsi1,echTel2,eleEdw1
canFam3,0,0.629687257,0.514383856,,chrAsi1,0,0.605862617,0.709146968
eptFus1,0.629687257,0,0.615830721,,echTel2,0.605862617,0,0.779403489
felCat8,0.514383856,0.615830721,0,,eleEdw1,0.709146968,0.779403489,0
,,,,,,,,
Species(Pink),anaPla1,falChe1,rheMac3,,Species(Red),jacJac1,mesAur1,speTri2
anaPla1,0,0.542097489,0.827380952,,jacJac1,0,0.467255457,0.68044789
falChe1,0.542097489,0,2.233870968,,mesAur1,0.467255457,0,0.508711936
rheMac3,0.827380952,2.233870968,0,,speTri2,0.68044789,0.508711936,0
