Species,ailMel1,allMis1,amaVit1,anaPla1,anoCar2,apaSpi1,araMac1,astMex1,bosTau8,calJac3,camFer1,canFam3,capHir1,cavPor3,cerSim1,cheMyd1,chiLan1,chlSab2,chrAsi1,chrPic2,colLiv1,conCri1,criGri1,danRer10,dasNov3,echTel2,eleEdw1,eptFus1,equCab2,eriEur2,falChe1,falPer1,felCat8,ficAlb2,fr3,gadMor1,galGal4,gasAcu1,geoFor1,gorGor3,hapBur1,hetGla2,hg38,jacJac1,latCha1,lepOcu1,lepWed1,loxAfr3,macEug2,macFas5,mayZeb1,melGal1,melUnd1,mesAur1,micOch1,mm10,monDom5,musFur1,myoDav1,myoLuc2,neoBri1,nomLeu3,ochPri3,octDeg1,odoRosDiv1,orcOrc1,oreNil2,ornAna1,oryAfe1,oryCun2,oryLat2,otoGar3,oviAri3,panHod1,panTro4,papAnu2,pelSin1,petMar2,ponAbe2,pseHum1,pteAle1,pteVam1,punNye1,rheMac3,rn6,saiBol1,sarHar1,sorAra2,speTri2,susScr3,taeGut2,takFla1,tetNig2,triMan1,tupChi1,turTru2,vicPac2,xenTro7,xipMac1,zonAlb1
ailMel1,0.0,0.348932676519,0.389637305699,0.46374501992,0.31279342723,0.474358974359,0.546113306983,0.389898989899,0.393383742911,0.420064427059,0.352894840488,0.320101930805,0.40942408377,0.488704232667,0.354807784489,0.266927475173,0.437376120812,0.40716374269,0.425770308123,0.397352587244,0.526254826255,0.448587162589,0.410393732024,0.24032586558,0.440283018868,0.466578357449,0.461664104535,0.385005362192,0.358566126197,0.422226458254,0.684961580681,0.556127221703,0.319185059423,0.406281661601,0.294839255499,0.234398782344,0.4557956778,0.20260400127,0.545075560188,0.399778618209,0.269678302533,0.474767012485,0.400596792242,0.467845659164,0.228799559471,0.234298197706,0.223674096849,0.437543545337,0.460031212069,0.413189404935,0.271176805003,0.667320261438,0.393677303907,0.390854096176,0.401606844741,0.457175056349,0.493113596233,0.290400972053,0.396573208723,0.117988394584,0.333754740834,0.397194950912,0.485954031375,0.453398415915,0.239163252103,0.342621975407,0.270106221548,0.589347079038,0.380222267956,0.510849987134,0.323141486811,0.476930834524,0.415336056443,0.397674418605,0.40442251462,0.516341591987,0.468455838173,0.268557130942,0.412643570828,0.289219740833,0.374855268236,0.354273416684,0.267845003399,0.418663077613,0.437689375428,0.401611260302,0.509020446345,0.400061690315,0.4795042898,0.30669800235,0.481557377049,0.361256544503,0.224176527023,0.410815093592,0.479916171848,0.361902022817,0.354943114947,0.171833141982,0.305945223781,0.611366622865
allMis1,0.348932676519,0.0,0.233465234596,0.269841269841,0.125,0.322520852641,0.327324478178,0.261371350984,0.335641981886,0.338510980182,0.338121840915,0.332801701223,0.350041771094,0.342176502436,0.333421121938,0.172400463858,0.338652961861,0.331151832461,0.332249322493,0.167626142906,0.319404693761,0.359775641026,0.258172930034,0.202227432591,0.301167093652,0.346521145975,0.343048128342,0.343905635649,0.305807872282,0.343921139102,0.237104072398,0.361846571623,0.338169348457,0.163588390501,0.168168168168,0.162800875274,0.326496674058,0.159511974695,0.328722538649,0.327291830838,0.237712243074,0.34310770074,0.327559055118,0.352608929532,0.191811303961,0.143126177024,0.329265057044,0.339309253889,0.43337446021,0.311796246649,0.195890410959,0.517560073937,0.231053604436,0.296082949309,0.341709915324,0.363756613757,0.402407566638,0.3432,0.34872705743,0.0362374710871,0.221656976744,0.276511954993,0.347953216374,0.324772162386,0.336842105263,0.327209797657,0.201350521793,0.346169945584,0.330779392338,0.336737436173,0.233017377567,0.349425887265,0.347328244275,0.340878828229,0.327029156816,0.376214979989,0.175839885633,0.191111111111,0.333423839261,0.172563417891,0.343847758081,0.348577802566,0.217497955846,0.328413284133,0.353661784288,0.32938700342,0.417792131533,0.316127150773,0.334054638896,0.333868808568,0.199489307373,0.208623969562,0.13217623498,0.335260115607,0.324714207948,0.339267015707,0.341469885911,0.112090063632,0.224085365854,0.337654684738
amaVit1,0.389637305699,0.233465234596,0.0,0.359920239282,0.288508557457,0.487473903967,0.290292177191,0.393991416309,0.3630831643,0.36496350365,0.366683341671,0.363908275174,0.383568548387,0.349946977731,0.367466927976,0.354818907305,0.346271705822,0.367119301649,0.371896722939,0.330773450357,0.316281971304,0.393696848424,0.283304246655,0.340740740741,0.285385500575,0.372292191436,0.380513814833,0.366281986954,0.312798725438,0.375251509054,0.349829351536,0.342307692308,0.36974789916,0.2610548748,0.363481228669,0.35046728972,0.250825082508,0.288637967537,0.394285714286,0.36204379562,0.355597365945,0.35572519084,0.362487852284,0.384930804716,0.2808,0.267585206672,0.357391737183,0.365758754864,0.433313919627,0.332993370729,0.340034965035,0.421173762946,0.224563206578,0.356002060793,0.344114528102,0.361570247934,0.416785206259,0.38163064833,0.392947103275,0.0876944837341,0.369467028004,0.260894170911,0.362229102167,0.274900398406,0.372309197652,0.368602362205,0.303118201595,0.52183249821,0.3653190453,0.362164896308,0.36013986014,0.372403560831,0.383282364934,0.382175226586,0.361733203505,0.455257270694,0.308395202741,0.266014234875,0.375947448206,0.261522527188,0.383365200765,0.389157273215,0.339013452915,0.365365853659,0.352207792208,0.365758754864,0.481191222571,0.32423009878,0.37044638276,0.3704443335,0.244751664107,0.385915492958,0.288903924222,0.367346938776,0.33125325013,0.411737734984,0.367,0.258813413586,0.322553897181,0.366513233602
anaPla1,0.46374501992,0.269841269841,0.359920239282,0.0,0.310450819672,0.468988030468,0.353757225434,0.463842975207,0.471428571429,0.45769540693,0.465338645418,0.472972972973,0.473642800944,0.468404423381,0.463434022258,0.307618129219,0.4552,0.45498783455,0.475667189953,0.425101214575,0.343243243243,0.491022638564,0.479934479934,0.397129186603,0.415750915751,0.462579617834,0.477588871716,0.418744625967,0.412334801762,0.490740740741,0.35153256705,0.375321336761,0.480993017843,0.335740072202,0.421784472769,0.417721518987,0.29123468426,0.373231773667,0.297297297297,0.454397394137,0.36170212766,0.459935897436,0.453952730236,0.468253968254,0.367003367003,0.342391304348,0.469708890637,0.466666666667,0.450568678915,0.453583061889,0.367346938776,0.326431181486,0.323148148148,0.483896940419,0.483481063658,0.486245954693,0.492319508449,0.485823754789,0.398745519713,0.158808933002,0.428407789233,0.429541595925,0.463065925338,0.396276595745,0.473067915691,0.464891041162,0.401950162514,0.434410646388,0.466034755134,0.465448768864,0.405681818182,0.466828478964,0.490596892886,0.475889328063,0.454397394137,0.495921696574,0.355787476281,0.321686746988,0.474261603376,0.284200385356,0.455074875208,0.437392795883,0.36329588015,0.452768729642,0.457455770851,0.455429497569,0.503748125937,0.478806907378,0.475435816165,0.405600722674,0.269872423945,0.441530054645,0.373993095512,0.459134615385,0.473067915691,0.511388684791,0.468774703557,0.339307048984,0.373781148429,0.330179754021
anoCar2,0.31279342723,0.125,0.288508557457,0.310450819672,0.0,0.472747497219,0.274266365688,0.294851794072,0.307823129252,0.312211981567,0.300889877642,0.304228445909,0.327976190476,0.239377618193,0.294246575342,0.194630872483,0.237611940299,0.299349240781,0.298614958449,0.181141439206,0.256684491979,0.311123986095,0.304919908467,0.274350649351,0.289246693502,0.295622512791,0.298928369994,0.301490889012,0.300821917808,0.286374133949,0.28880866426,0.262981574539,0.298245614035,0.171370967742,0.297557364915,0.24694024478,0.203442879499,0.212830188679,0.260910815939,0.294759825328,0.290060851927,0.243990384615,0.300275482094,0.293588301462,0.223555888972,0.181305398872,0.282608695652,0.291321171918,0.299022801303,0.300821917808,0.241217798595,0.34214002642,0.205653710247,0.302272727273,0.305699481865,0.297959183673,0.278098908157,0.308203991131,0.318036966221,0.1006378455,0.2721791559,0.292384658143,0.23948019802,0.135869565217,0.294471811713,0.293046357616,0.242798353909,0.343364197531,0.289269911504,0.31349862259,0.287683031869,0.298837852795,0.315028901734,0.309655937847,0.296135002722,0.342602892102,0.178785857238,0.27239488117,0.309971509972,0.17279174726,0.301218161683,0.306626506024,0.264029438822,0.297489082969,0.289838337182,0.298694232862,0.308603491272,0.244910549044,0.294084186576,0.30244173141,0.164365548981,0.28835978836,0.260579064588,0.293406593407,0.319429198683,0.336274001038,0.301339285714,0.206362854686,0.286689419795,0.277477477477
apaSpi1,0.474358974359,0.322520852641,0.487473903967,0.468988030468,0.472747497219,0.0,0.536781609195,0.579569892473,0.453125,0.465405085748,0.465996451804,0.468656716418,0.47055393586,0.4140625,0.462721893491,0.286204529856,0.403743315508,0.467570754717,0.470374848851,0.325936199723,0.485158648925,0.484937979917,0.439510939511,0.388943731491,0.46149068323,0.455555555556,0.464975845411,0.457978075518,0.474605954466,0.482122260669,0.430927835052,0.430196483971,0.487106017192,0.295652173913,0.461724415794,0.370033112583,0.449851042701,0.411091549296,0.466049382716,0.464370546318,0.507024265645,0.39874301676,0.463458110517,0.456912585245,0.309190031153,0.473933649289,0.466349017272,0.471182412359,0.446134347275,0.466036621382,0.512224938875,0.490013315579,0.369513168396,0.45386996904,0.420808482439,0.46847960445,0.45386996904,0.4858463316,0.465956187093,0.158095238095,0.557471264368,0.438781852082,0.456322541234,0.331347728965,0.477655252467,0.460760998811,0.548240635641,0.439306358382,0.463811821472,0.455741626794,0.547866205306,0.475088967972,0.471176470588,0.469865418373,0.464052287582,0.482816901408,0.257780784844,0.420977011494,0.479435236341,0.301418439716,0.464500601685,0.453987730061,0.50641025641,0.464137522229,0.439766839378,0.465005931198,0.48611898017,0.423423423423,0.453276699029,0.470692717584,0.302919708029,0.479495268139,0.44211409396,0.471360381862,0.465877044557,0.50460205739,0.465915826912,0.341831916903,0.512455516014,0.487804878049
araMac1,0.546113306983,0.327324478178,0.290292177191,0.353757225434,0.274266365688,0.536781609195,0.0,0.487108655617,0.5636242505,0.561866125761,0.535027472527,0.556781310837,0.594385964912,0.528288023512,0.544137022398,0.42385786802,0.517844136926,0.539030955585,0.583175205566,0.443535188216,0.32,0.56682337139,0.446381865737,0.355658198614,0.487704918033,0.543415340087,0.556855100715,0.53583855254,0.492285084497,0.551219512195,0.272413793103,0.299084435402,0.559278350515,0.339103869654,0.410311493018,0.431640625,0.297213622291,0.362376237624,0.294695481336,0.536124240378,0.376963350785,0.521044992743,0.538305084746,0.593197278912,0.419587628866,0.346246973366,0.544186046512,0.545393409549,0.570617459191,0.506512301013,0.343963553531,0.35836627141,0.20624303233,0.531044558072,0.517789553369,0.552333804809,0.571521456437,0.55613238157,0.587892049599,0.142681426814,0.443914081146,0.440230832646,0.570198675497,0.462978030919,0.554115359689,0.543989254533,0.406285072952,0.570728291317,0.543167912984,0.600767754319,0.375418994413,0.582586427657,0.585684790089,0.5703125,0.535182679296,0.583446404342,0.393607305936,0.306569343066,0.557192982456,0.342576028623,0.561493882807,0.540740740741,0.340425531915,0.540705563094,0.518126888218,0.539757412399,0.593085106383,0.526622902991,0.558235699518,0.547014413178,0.31941923775,0.453968253968,0.365079365079,0.539235412475,0.501878287002,0.581896551724,0.537619699042,0.320553780618,0.358796296296,0.494957983193
astMex1,0.389898989899,0.261371350984,0.393991416309,0.463842975207,0.294851794072,0.579569892473,0.487108655617,0.0,0.382427628238,0.406813627255,0.376863753213,0.385032003939,0.427945205479,0.345396487493,0.373326722856,0.320719602978,0.325720500272,0.378338278932,0.412940057088,0.314511232544,0.395081967213,0.397881996974,0.330027548209,0.17328042328,0.351642710472,0.383848977451,0.393590385578,0.389144905274,0.370724346076,0.390735146022,0.367100371747,0.403171953255,0.390101892285,0.258914728682,0.214102564103,0.233412322275,0.39968774395,0.198092031425,0.448307410796,0.374003984064,0.22618061309,0.314222712238,0.374812593703,0.360776088096,0.299572910311,0.213276836158,0.377358490566,0.373379860419,0.427203065134,0.377799900448,0.173671199011,0.498873873874,0.301092043682,0.338058887677,0.329810901001,0.361286919831,0.405310621242,0.403883495146,0.430295715148,0.115168539326,0.229475100942,0.35318275154,0.372459349593,0.254784688995,0.383406971036,0.388023369036,0.213342599027,0.514267596703,0.382073109664,0.397698849425,0.238765928907,0.442272727273,0.412151898734,0.410845139228,0.373817819811,0.40126459144,0.311608961303,0.310532030402,0.389778007228,0.299333333333,0.373991935484,0.392026578073,0.19826964672,0.378054862843,0.316462736374,0.382655561,0.418746816098,0.423095823096,0.36747624076,0.387866732969,0.295605858855,0.278499278499,0.213441194773,0.378258730939,0.394380331159,0.423992673993,0.380512820513,0.264028776978,0.272226593234,0.514555468135
bosTau8,0.393383742911,0.335641981886,0.3630831643,0.471428571429,0.307823129252,0.453125,0.5636242505,0.382427628238,0.0,0.428399629972,0.325080840744,0.411743286299,0.150983320886,0.491528369102,0.366733851617,0.263823529412,0.439950631349,0.412832263978,0.434051342579,0.379051765844,0.519756838906,0.442328817283,0.409637347225,0.249626307922,0.445958646617,0.457796557766,0.46820258949,0.403875671527,0.377928363988,0.420312198882,0.676717557252,0.541031941032,0.398593530239,0.395080321285,0.294517637059,0.221978021978,0.439453125,0.193022497555,0.541984732824,0.409002859515,0.260533707865,0.480924046202,0.407487131493,0.461723639865,0.227224294086,0.199355185384,0.361892707623,0.460130343109,0.449275362319,0.410542836041,0.270393610953,0.674791533034,0.378161261529,0.39553314121,0.40389218441,0.455506275361,0.486396578353,0.39674267101,0.414138318521,0.117911285794,0.2975,0.404484893976,0.479555966698,0.45400758066,0.383735224586,0.280444351289,0.250638080653,0.590863754239,0.381651941648,0.504092650644,0.300546448087,0.468669306249,0.161964221395,0.156029203957,0.399569651043,0.505014326648,0.459530554431,0.260483870968,0.412294848686,0.279825279825,0.399474129026,0.373228821224,0.256215469613,0.4151046905,0.434915021122,0.399451640352,0.497064318121,0.412858013406,0.481384601971,0.270089040343,0.476114331401,0.343220338983,0.211707317073,0.432107023411,0.479002624672,0.290452157792,0.327815906338,0.171599850131,0.272670025189,0.611900826446
calJac3,0.420064427059,0.338510980182,0.36496350365,0.45769540693,0.312211981567,0.465405085748,0.561866125761,0.406813627255,0.428399629972,0.0,0.405018256718,0.456342107505,0.437051352844,0.486486486486,0.406851071625,0.264377934272,0.423132391116,0.280347115875,0.426646706587,0.38631452581,0.509234828496,0.47589934432,0.405416168857,0.242393509128,0.455001825484,0.472466081405,0.484016167555,0.415980861244,0.401400454201,0.446425202792,0.710243553009,0.56428918001,0.420864953826,0.409892262488,0.311710193766,0.225685317311,0.438335242459,0.20617561917,0.565015479876,0.250585480094,0.282920469361,0.472775098641,0.268128869766,0.457514450867,0.22510940919,0.220253164557,0.387275506305,0.451185292695,0.454703832753,0.277060270603,0.294520547945,0.671632124352,0.375252379579,0.389760952088,0.419825072886,0.446508526246,0.482422345293,0.43210206995,0.415849673203,0.127107836191,0.327596439169,0.273094867807,0.472284644195,0.447138610182,0.414151545546,0.388502240442,0.276450511945,0.589763625708,0.380600082203,0.505501117414,0.345410628019,0.441973592773,0.443263061412,0.42493100276,0.261443385357,0.461634882263,0.465311706078,0.256012412723,0.262728249194,0.278874763322,0.416519064044,0.399072154772,0.296043656207,0.291037260826,0.422793385136,0.161178509532,0.499532148109,0.431425432025,0.471862224928,0.374278319729,0.482861105607,0.364053186612,0.236665602044,0.446623496762,0.454400707651,0.400446594715,0.404842026547,0.168697638995,0.301081730769,0.620952380952
