Species(Blue),chlSab2,otoGar3,rheMac3,,Species(Brown),chiLan1,hetGla2,ochPri3
chlSab2,0,0.278213639,0.025535856,,chiLan1,0,0.192193087,0.472326706
otoGar3,0.278213639,0,0.264630274,,hetGla2,0.192193087,0,0.451871658
rheMac3,0.025535856,0.264630274,0,,ochPri3,0.472326706,0.451871658,0
,,,,,,,,
Species(Green),canFam3,eptFus1,felCat8,,Species(orange),chrAsi1,echTel2,eleEdw1
canFam3,0,0.404387739,0.295119508,,chrAsi1,0,0.423627053,0.506509078
eptFus1,0.404387739,0,0.351724138,,echTel2,0.423627053,0,0.618645657
felCat8,0.295119508,0.351724138,0,,eleEdw1,0.506509078,0.618645657,0
,,,,,,,,
Species(Pink),anaPla1,falChe1,rheMac3,,Species,jacJac1,mesAur1,speTri2
anaPla1,0,0.667651403,1.267857143,,jacJac1,0,0.446592235,0.539534884
falChe1,0.667651403,0,1.868663594,,mesAur1,0.446592235,0,0.387884709
rheMac3,1.267857143,1.868663594,0,,speTri2,0.539534884,0.387884709,0
